,model,aucroc,auprc,auprc_inc,best_sen,best_spec,ntrain,ntest,nfeatures_train,nfeatures_important,npositive_train,npositive_test,npatients_train,npatients_test,day_split,seed,lookback_days,lookforward_days_freezing,lookforward_days_predict
0.7,weather_patient_passive,0.6549689440993789,0.26690611504124045,1.4853905532729903,0.6739130434782609,0.5714285714285714,591,256,74,21,167,46,11,10,0.7,0,5,2,3
0.7,weather_patient_active,0.8634803921568628,0.511928821549744,2.519492827627171,0.8823529411764706,0.815,578,251,40,9,164,51,10,10,0.7,0,5,2,3
0.7,nonweather_patient_passive,0.4282124125874126,0.12376083159754234,0.9615264608732135,0.38461538461538464,0.6363636363636364,469,202,74,31,124,26,9,9,0.7,0,5,2,3
0.7,nonweather_patient_active,0.7667464114832536,0.38257784908394854,2.1447546085009237,0.7878787878787878,0.6578947368421053,428,185,40,9,99,33,9,9,0.7,0,5,2,3
0.7,weather_patient_passive,0.6706190476190477,0.27492063876695805,1.4295873215881818,0.78,0.5904761904761905,599,260,74,13,193,50,11,11,0.7,0,5,2,4
0.7,weather_patient_active,0.8502999538532534,0.5284751741588791,2.4213771616006827,0.8363636363636363,0.7918781725888324,583,252,40,21,191,55,10,10,0.7,0,5,2,4
0.7,nonweather_patient_passive,0.501412429378531,0.20256742456768853,1.4830829298705765,0.39285714285714285,0.7401129943502824,476,205,74,28,150,28,9,9,0.7,0,5,2,4
0.7,nonweather_patient_active,0.7386865342163356,0.34492727136717216,1.7917055484905888,0.7777777777777778,0.6026490066225165,435,187,40,10,122,36,9,9,0.7,0,5,2,4
0.7,weather_patient_passive,0.6918799646954987,0.34222260045951824,1.6240017949078958,0.6,0.7184466019417476,605,261,74,25,222,55,11,11,0.7,0,5,2,5
0.7,weather_patient_active,0.811873920552677,0.5249433871262891,2.213511282382519,0.8,0.7772020725388601,584,253,40,15,221,60,10,10,0.7,0,5,2,5
0.7,nonweather_patient_passive,0.5216071428571428,0.18485296095809634,1.1957675911976857,0.625,0.48,480,207,74,17,166,32,9,9,0.7,0,5,2,5
0.7,nonweather_patient_active,0.6941755815928001,0.35354099516790743,1.722379207228267,0.7948717948717948,0.6357615894039735,440,190,40,10,138,39,9,9,0.7,0,5,2,5
0.7,weather_patient_passive,0.6787980589772302,0.35825023250423943,2.0961449774184224,0.7659574468085106,0.6140350877192983,637,275,74,21,170,47,11,11,0.7,0,7,2,3
0.7,weather_patient_active,0.8733278358072201,0.6372828140655005,3.311371484850149,0.7843137254901961,0.8644859813084113,614,265,40,12,166,51,10,10,0.7,0,7,2,3
0.7,nonweather_patient_passive,0.383248730964467,0.17050791121974362,1.3287857908848986,0.41379310344827586,0.4974619289340102,523,226,74,27,126,29,9,9,0.7,0,7,2,3
0.7,nonweather_patient_active,0.7833333333333333,0.49819323722591896,3.653417072990073,0.8666666666666667,0.6263157894736842,508,220,40,11,123,30,9,9,0.7,0,7,2,3
0.7,weather_patient_passive,0.6762264150943397,0.36209389830697275,1.8992849760252533,0.660377358490566,0.6799999999999999,651,278,74,25,198,53,11,11,0.7,0,7,2,4
0.7,weather_patient_active,0.8458117123795406,0.6047698252823187,2.8646991723899307,0.7719298245614035,0.8262910798122065,619,270,40,16,194,57,10,10,0.7,0,7,2,4
0.7,nonweather_patient_passive,0.3928038220364288,0.15361537760224228,1.043680947826999,0.29411764705882354,0.7360406091370558,538,231,74,26,154,34,9,9,0.7,0,7,2,4
0.7,nonweather_patient_active,0.7391640866873065,0.3993585068274088,2.631067809686458,0.6470588235294118,0.7842105263157895,521,224,40,8,151,34,9,9,0.7,0,7,2,4
0.7,weather_patient_passive,0.670441590028122,0.4051381923526013,1.9364232244649757,0.5932203389830508,0.7443946188340806,656,282,74,8,232,59,11,11,0.7,0,7,2,5
0.7,weather_patient_active,0.7847222222222222,0.498635962048672,2.1449261224633354,0.6984126984126984,0.8173076923076923,622,271,40,18,226,63,10,10,0.7,0,7,2,5
0.7,nonweather_patient_passive,0.44015495591771303,0.2181519917326068,1.349097843609542,0.34210526315789475,0.7309644670050761,545,235,74,23,173,38,9,9,0.7,0,7,2,5
0.7,nonweather_patient_active,0.7284562048959955,0.3250766260206032,2.003174884667501,0.5945945945945946,0.837696335078534,530,228,40,12,172,37,9,9,0.7,0,7,2,5
0.7,weather_patient_passive,0.7382189239332096,0.33134852486912025,1.8073555901952014,0.8,0.563265306122449,696,300,74,22,173,55,11,11,0.7,0,14,2,3
0.7,weather_patient_active,0.7562900453195812,0.3523155828752842,1.8985895299390314,0.6111111111111112,0.8270042194092827,674,291,40,15,172,54,11,10,0.7,0,14,2,3
0.7,nonweather_patient_passive,0.48362884160756503,0.20906149201797108,1.573768453801949,0.7222222222222222,0.34042553191489366,627,271,74,7,138,36,9,9,0.7,0,14,2,3
0.7,nonweather_patient_active,0.723900462962963,0.4627730341872679,3.5479265954357206,0.8888888888888888,0.5541666666666667,635,276,40,14,140,36,9,9,0.7,0,14,2,3
0.7,weather_patient_passive,0.6637630662020906,0.39316062631443527,1.928359262399373,0.6825396825396826,0.5934959349593496,709,309,74,21,206,63,11,11,0.7,0,14,2,4
0.7,weather_patient_active,0.7363890023138696,0.3964002070891757,1.911671966446186,0.6129032258064516,0.8016877637130801,686,299,40,12,205,62,11,10,0.7,0,14,2,4
0.7,nonweather_patient_passive,0.5351165570830844,0.2843324386865046,1.9023194112120905,0.5714285714285714,0.4811715481171548,651,281,74,14,172,42,9,9,0.7,0,14,2,4
0.7,nonweather_patient_active,0.7058176729308276,0.4732174730538782,3.2894385322037873,0.5853658536585366,0.819672131147541,661,285,40,10,175,41,9,9,0.7,0,14,2,4
0.7,weather_patient_passive,0.6532467532467532,0.364645892086568,1.6252788333001316,0.5714285714285714,0.6859504132231404,722,312,74,28,245,70,11,11,0.7,0,14,2,5
0.7,weather_patient_active,0.7286807240156746,0.3804334358119872,1.6650854726843498,0.6666666666666666,0.7081545064377682,695,302,40,5,243,69,11,10,0.7,0,14,2,5
0.7,nonweather_patient_passive,0.573676806752242,0.34258169927493604,2.1065130019246068,0.3404255319148936,0.9545454545454546,667,289,74,18,195,47,9,9,0.7,0,14,2,5
0.7,nonweather_patient_active,0.7736392262708053,0.5241244062101673,3.4009850358526412,0.8222222222222222,0.6234817813765182,677,292,40,18,201,45,9,9,0.7,0,14,2,5
0.7,weather_patient_passive,0.6859862206122593,0.4746688992075687,2.5315674624403663,0.5614035087719298,0.8218623481781376,704,304,74,9,173,57,11,11,0.7,0,21,2,3
0.7,weather_patient_active,0.8257059741734071,0.43649607385660205,2.265264107428228,0.9310344827586207,0.6296296296296297,697,301,40,14,173,58,11,10,0.7,0,21,2,3
0.7,nonweather_patient_passive,0.4986772486772487,0.16218570576880267,1.2974856461504214,0.6111111111111112,0.4007936507936508,665,288,74,5,139,36,9,9,0.7,0,21,2,3
0.7,nonweather_patient_active,0.8148526077097507,0.49462953197947046,4.0559621622316575,0.7714285714285715,0.7420634920634921,665,287,40,11,141,35,9,9,0.7,0,21,2,3
0.7,weather_patient_passive,0.712468982630273,0.45976778197252754,2.2139587039600173,0.676923076923077,0.6451612903225806,719,313,74,6,206,65,11,11,0.7,0,21,2,4
0.7,weather_patient_active,0.7869435091657314,0.430925246473408,2.0175136539436833,1.0,0.5720164609053497,711,309,40,8,206,66,11,10,0.7,0,21,2,4
0.7,nonweather_patient_passive,0.5387834821428572,0.20812057790160074,1.4766650527304053,0.5476190476190477,0.56640625,692,298,74,5,173,42,9,9,0.7,0,21,2,4
0.7,nonweather_patient_active,0.79765625,0.5555323103944443,4.110939096918887,0.875,0.59375,692,296,40,5,176,40,9,9,0.7,0,21,2,4
0.7,weather_patient_passive,0.7440476190476191,0.5175001240002649,2.278438045945611,0.7222222222222222,0.653061224489796,732,317,74,26,245,72,11,11,0.7,0,21,2,5
0.7,weather_patient_active,0.8093607305936072,0.4693469155440452,2.012405268017618,0.9178082191780822,0.6666666666666667,722,313,40,4,244,73,11,10,0.7,0,21,2,5
0.7,nonweather_patient_passive,0.5881342062193126,0.31028435973652746,2.026751030619445,0.46808510638297873,0.8423076923076923,709,307,74,5,196,47,9,9,0.7,0,21,2,5
0.7,nonweather_patient_active,0.8173076923076923,0.5542672391878634,3.756700176717741,0.6666666666666666,0.8153846153846154,707,305,40,12,201,45,9,9,0.7,0,21,2,5
0.7,weather_patient_passive,0.633177072235244,0.43826017297068526,2.337387589176988,0.49122807017543857,0.902834008097166,706,304,74,25,173,57,11,11,0.7,0,28,2,3
0.7,weather_patient_active,0.7262931034482759,0.28551757061029126,1.4866604538673787,0.8620689655172413,0.5532786885245902,700,302,40,14,173,58,11,10,0.7,0,28,2,3
0.7,nonweather_patient_passive,0.44730405780989435,0.12781511165025283,1.0663432171963951,0.22857142857142856,0.9299610894941635,674,292,74,24,140,35,9,9,0.7,0,28,2,3
0.7,nonweather_patient_active,0.8009034443817052,0.4563383985943732,3.7550131084336993,0.7142857142857143,0.9446640316205533,667,288,40,16,141,35,9,9,0.7,0,28,2,3
0.7,weather_patient_passive,0.7174235403151066,0.39868479374246446,1.9259542343866745,0.6923076923076923,0.751004016064257,720,314,74,25,206,65,11,11,0.7,0,28,2,4
0.7,weather_patient_active,0.712121212121212,0.3184997976703603,1.500809652658819,0.6515151515151515,0.7102040816326531,714,311,40,14,206,66,11,10,0.7,0,28,2,4
0.7,nonweather_patient_passive,0.5577767175572519,0.19454106130007257,1.4687850128155477,0.375,0.8854961832061069,703,302,74,31,175,40,9,9,0.7,0,28,2,4
0.7,nonweather_patient_active,0.8142926356589147,0.5846822813768748,4.3558829962577175,0.825,0.810077519379845,694,298,40,14,176,40,9,9,0.7,0,28,2,4
0.7,weather_patient_passive,0.7143990929705215,0.47160719066690654,2.0763816589084634,0.8194444444444444,0.6040816326530613,734,317,74,21,245,72,11,11,0.7,0,28,2,5
0.7,weather_patient_active,0.6644118645986641,0.3211084322581681,1.3856048789222322,0.7671232876712328,0.5454545454545454,726,315,40,7,244,73,11,10,0.7,0,28,2,5
0.7,nonweather_patient_passive,0.5470661672908863,0.29372063990592145,2.0364631033477223,0.4,0.7565543071161048,721,312,74,33,198,45,9,9,0.7,0,28,2,5
0.7,nonweather_patient_active,0.8183354457118716,0.4649305401980449,3.182191252911063,0.9111111111111111,0.6349809885931559,710,308,40,14,201,45,9,9,0.7,0,28,2,5
